qid,Q0,docid,rank,score,runstring,relevance
1164764,Q0,D819205,1,-5.26263,IndriQueryLikelihood,1.0
1164764,Q0,D2337954,2,-5.29758,IndriQueryLikelihood,1.0
1164764,Q0,D2053114,3,-5.31652,IndriQueryLikelihood,1.0
1164764,Q0,D2479199,4,-5.34583,IndriQueryLikelihood,1.0
1164764,Q0,D526641,5,-5.35007,IndriQueryLikelihood,1.0
1164764,Q0,D1642357,6,-5.3501,IndriQueryLikelihood,1.0
1164764,Q0,D858141,7,-5.3501,IndriQueryLikelihood,1.0
1164764,Q0,D868090,8,-5.35278,IndriQueryLikelihood,1.0
1164764,Q0,D581342,9,-5.40581,IndriQueryLikelihood,1.0
1164764,Q0,D3300654,10,-5.41229,IndriQueryLikelihood,1.0
1164764,Q0,D2136296,91,-5.66365,IndriQueryLikelihood,0.0
1164764,Q0,D1567589,92,-5.66386,IndriQueryLikelihood,0.0
1164764,Q0,D1109739,93,-5.66719,IndriQueryLikelihood,0.0
1164764,Q0,D1145719,94,-5.66742,IndriQueryLikelihood,0.0
1164764,Q0,D3295369,95,-5.66826,IndriQueryLikelihood,0.0
1164764,Q0,D923730,96,-5.66996,IndriQueryLikelihood,0.0
1164764,Q0,D2534222,97,-5.67644,IndriQueryLikelihood,0.0
1164764,Q0,D3537347,98,-5.67657,IndriQueryLikelihood,0.0
1164764,Q0,D2010105,99,-5.67765,IndriQueryLikelihood,0.0
1164764,Q0,D1595083,100,-5.6796,IndriQueryLikelihood,0.0
591492,Q0,D1548882,1,-5.91433,IndriQueryLikelihood,1.0
591492,Q0,D2708560,2,-5.9154,IndriQueryLikelihood,1.0
591492,Q0,D477547,3,-5.9154,IndriQueryLikelihood,1.0
591492,Q0,D3531314,4,-6.08167,IndriQueryLikelihood,1.0
591492,Q0,D1964660,5,-6.09714,IndriQueryLikelihood,1.0
591492,Q0,D2660280,6,-6.12023,IndriQueryLikelihood,1.0
591492,Q0,D1774537,7,-6.12511,IndriQueryLikelihood,1.0
591492,Q0,D36104,8,-6.12812,IndriQueryLikelihood,1.0
591492,Q0,D2344341,9,-6.12894,IndriQueryLikelihood,1.0
591492,Q0,D1881759,10,-6.13673,IndriQueryLikelihood,1.0
591492,Q0,D1507215,91,-6.31817,IndriQueryLikelihood,0.0
591492,Q0,D486448,92,-6.31839,IndriQueryLikelihood,0.0
591492,Q0,D1147215,93,-6.31883,IndriQueryLikelihood,0.0
591492,Q0,D517724,94,-6.32071,IndriQueryLikelihood,0.0
591492,Q0,D3098791,95,-6.32799,IndriQueryLikelihood,0.0
591492,Q0,D1820514,96,-6.32824,IndriQueryLikelihood,0.0
591492,Q0,D581916,97,-6.33675,IndriQueryLikelihood,0.0
591492,Q0,D1695658,98,-6.33675,IndriQueryLikelihood,0.0
591492,Q0,D563958,99,-6.33682,IndriQueryLikelihood,0.0
591492,Q0,D1427511,100,-6.33682,IndriQueryLikelihood,0.0
413930,Q0,D601199,1,-5.23476,IndriQueryLikelihood,1.0
413930,Q0,D1514630,2,-5.2869,IndriQueryLikelihood,1.0
413930,Q0,D137518,3,-5.29781,IndriQueryLikelihood,1.0
413930,Q0,D2518191,4,-5.32733,IndriQueryLikelihood,1.0
413930,Q0,D580886,5,-5.33048,IndriQueryLikelihood,1.0
413930,Q0,D2716374,6,-5.41315,IndriQueryLikelihood,1.0
413930,Q0,D1631037,7,-5.48569,IndriQueryLikelihood,1.0
413930,Q0,D68829,8,-5.50598,IndriQueryLikelihood,1.0
413930,Q0,D1169643,9,-5.52431,IndriQueryLikelihood,1.0
413930,Q0,D867093,10,-5.52431,IndriQueryLikelihood,1.0
413930,Q0,D1513224,91,-6.06593,IndriQueryLikelihood,0.0
413930,Q0,D2917290,92,-6.06824,IndriQueryLikelihood,0.0
413930,Q0,D111088,93,-6.07928,IndriQueryLikelihood,0.0
413930,Q0,D2642311,94,-6.08042,IndriQueryLikelihood,0.0
